"","type","pct","crime","crimes_count"
"1","misdemeanor_offenses","1","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",18
"2","misdemeanor_offenses","1","MISDEMEANOR SEX CRIMES (4)",31
"3","misdemeanor_offenses","1","MISDEMEANOR DANGEROUS DRUGS  (1)",98
"4","misdemeanor_offenses","1","MISDEMEANOR DANGEROUS WEAPONS (5)               ",26
"5","misdemeanor_offenses","1","PETIT LARCENY                         ",1782
"6","misdemeanor_offenses","1","ASSAULT 3 AND RELATED OFFENSES        ",273
"7","misdemeanor_offenses","1","INTOXICATED & IMPAIRED DRIVING              ",46
"8","misdemeanor_offenses","1","VEHICLE AND TRAFFIC LAWS              ",56
"9","misdemeanor_offenses","1","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",381
"10","misdemeanor_offenses","1","CRIMINAL TRESPASS",75
"11","misdemeanor_offenses","1","UNAUTHORIZED USE OF A VEHICLE           ",4
"12","misdemeanor_offenses","1","OFFENSES AGAINST THE PERSON (7)      ",8
"13","misdemeanor_offenses","1","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",81
"14","misdemeanor_offenses","1","ADMINISTRATIVE CODE (6)            ",1
"15","misdemeanor_offenses","1","FRAUDS (3)                    ",141
"16","misdemeanor_offenses","1","AGGRAVATED HARASSMENT 2               ",233
"17","misdemeanor_offenses","1","OTHER MISDEMEANORS (8)",627
"19","misdemeanor_offenses","5","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",9
"20","misdemeanor_offenses","5","MISDEMEANOR SEX CRIMES (4)",59
"21","misdemeanor_offenses","5","MISDEMEANOR DANGEROUS DRUGS  (1)",324
"22","misdemeanor_offenses","5","MISDEMEANOR DANGEROUS WEAPONS (5)               ",50
"23","misdemeanor_offenses","5","PETIT LARCENY                         ",955
"24","misdemeanor_offenses","5","ASSAULT 3 AND RELATED OFFENSES        ",324
"25","misdemeanor_offenses","5","INTOXICATED & IMPAIRED DRIVING              ",22
"26","misdemeanor_offenses","5","VEHICLE AND TRAFFIC LAWS              ",43
"27","misdemeanor_offenses","5","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",372
"28","misdemeanor_offenses","5","CRIMINAL TRESPASS",162
"29","misdemeanor_offenses","5","UNAUTHORIZED USE OF A VEHICLE           ",3
"30","misdemeanor_offenses","5","OFFENSES AGAINST THE PERSON (7)      ",25
"31","misdemeanor_offenses","5","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",68
"32","misdemeanor_offenses","5","ADMINISTRATIVE CODE (6)            ",2
"33","misdemeanor_offenses","5","FRAUDS (3)                    ",182
"34","misdemeanor_offenses","5","AGGRAVATED HARASSMENT 2               ",109
"35","misdemeanor_offenses","5","OTHER MISDEMEANORS (8)",630
"37","misdemeanor_offenses","6","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",16
"38","misdemeanor_offenses","6","MISDEMEANOR SEX CRIMES (4)",38
"39","misdemeanor_offenses","6","MISDEMEANOR DANGEROUS DRUGS  (1)",330
"40","misdemeanor_offenses","6","MISDEMEANOR DANGEROUS WEAPONS (5)               ",43
"41","misdemeanor_offenses","6","PETIT LARCENY                         ",1442
"42","misdemeanor_offenses","6","ASSAULT 3 AND RELATED OFFENSES        ",374
"43","misdemeanor_offenses","6","INTOXICATED & IMPAIRED DRIVING              ",28
