"","pct","xcoord","ycoord","pforce"
"1",40,1008008,230875,1
"2",40,1007586,232186,5
"3",40,1008203,232304,0
"4",40,1006325,232446,1
"5",40,1005737,232459,1
"6",40,1008394,232514,0
"7",40,1007783,232525,0
"8",40,1006782,232638,0
"9",40,1007517,232668,0
"10",40,1006797,232678,0
"11",41,1017136,232714,0
"12",40,1007409,232728,2
"13",40,1007921,232776,1
"14",40,1007300,232787,6
"15",40,1006227,232807,1
"16",40,1007213,232835,0
"17",40,1007224,232836,0
"18",40,1006305,232943,0
"19",40,1006961,232977,0
"20",40,1008596,233020,0
"21",40,1004696,233032,0
"22",40,1008448,233098,1
"23",40,1006747,233101,0
"24",40,1006696,233124,2
"25",40,1006627,233163,5
"26",40,1008091,233195,1
"27",40,1007095,233235,0
"28",40,1006953,233310,0
"29",40,1006858,233363,1
"30",40,1005681,233397,0
"31",40,1005262,233470,0
"32",40,1005518,233495,1
"33",40,1006611,233503,4
"34",40,1006487,233568,0
"35",40,1008062,233610,0
"36",40,1003125,233611,1
"37",40,1006832,233697,1
"38",40,1007341,233713,0
"39",40,1004591,233721,0
"40",40,1009763,233742,0
"41",40,1003890,233799,1
"42",40,1005462,233820,0
"43",41,1014779,233849,1
"44",40,1004347,233864,0
"45",40,1004670,233870,1
"46",40,1004677,233884,1
"47",40,1005893,233898,0
"48",41,1015937,233906,0
"49",40,1005842,233927,0
"50",40,1008391,233929,1
"51",40,1005803,233948,1
"52",41,1015553,234006,2
"53",40,1007479,234015,0
"54",40,1008129,234024,0
"55",40,1005035,234048,1
"56",40,1005597,234066,0
"57",40,1004980,234079,3
"58",43,1024303,234170,0
"59",41,1017355,234183,0
"60",40,1004865,234224,0
"61",40,1003844,234231,1
"62",40,1006936,234238,0
"63",41,1011102,234239,0
"64",41,1014691,234266,1
"65",40,1004895,234278,0
"66",40,1004197,234339,1
"67",40,1004972,234409,2
"68",41,1015467,234421,2
"69",41,1011169,234440,0
"70",40,1007816,234513,1
"71",41,1015449,234525,0
"72",40,1007725,234534,0
"73",40,1004735,234545,1
"74",40,1005904,234618,1
"75",40,1010316,234759,3
"76",40,1005984,234768,1
"77",40,1004367,234794,0
"78",40,1010035,234836,0
"79",40,1005826,234852,5
"80",40,1006897,234868,1
"81",43,1023793,234871,1
"82",40,1005796,234876,16
"83",40,1004723,234880,1
"84",40,1007245,234932,4
"85",40,1005615,234976,2
"86",41,1016951,234993,1
"87",40,1009275,235042,0
"88",40,1004801,235061,1
"89",41,1015220,235083,0
"90",40,1004031,235132,3
"91",41,1010774,235171,2
"92",41,1011629,235192,0
"93",40,1005005,235200,0
"94",41,1010889,235211,1
"95",41,1010695,235228,4
"96",41,1012964,235229,0
"97",40,1008029,235232,1
"98",40,1007372,235235,0
"99",41,1012939,235240,2
"100",41,1016056,235250,0
"101",40,1005099,235260,1
"102",41,1016094,235260,0
"103",40,1009612,235269,1
"104",41,1011596,235271,2
"105",40,1005462,235283,4
"106",40,1005133,235287,0
"107",40,1006647,235287,1
"108",40,1005148,235290,1
"109",41,1014485,235311,0
