type,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
misdemeanor_offenses,1,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6,16,7,11,7,18,13,14,25,19,34,33,42,43,37,18
misdemeanor_offenses,1,MISDEMEANOR SEX CRIMES (4),43,47,38,38,32,25,32,26,25,31,27,50,44,42,43,31
misdemeanor_offenses,1,MISDEMEANOR DANGEROUS DRUGS  (1),453,438,330,219,86,42,50,38,69,68,78,91,72,84,93,98
misdemeanor_offenses,1,MISDEMEANOR DANGEROUS WEAPONS (5)               ,13,15,19,21,11,16,17,26,30,27,39,29,32,19,32,26
misdemeanor_offenses,1,PETIT LARCENY                         ,2617,2293,1884,1731,1852,1925,1851,1957,1948,1970,1702,1938,2119,2014,1863,1782
misdemeanor_offenses,1,ASSAULT 3 AND RELATED OFFENSES        ,464,355,346,388,340,326,308,350,306,284,296,249,300,302,309,273
misdemeanor_offenses,1,INTOXICATED & IMPAIRED DRIVING              ,34,24,30,38,52,48,45,246,171,43,61,117,53,68,153,46
misdemeanor_offenses,1,VEHICLE AND TRAFFIC LAWS              ,100,55,64,65,43,45,53,64,44,52,36,49,37,56,48,56
misdemeanor_offenses,1,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,504,386,312,413,406,345,304,360,476,376,318,284,365,316,323,381
misdemeanor_offenses,1,CRIMINAL TRESPASS,45,87,36,73,43,38,32,53,32,61,61,117,92,108,88,75
misdemeanor_offenses,1,UNAUTHORIZED USE OF A VEHICLE           ,15,7,6,8,3,3,4,3,5,6,4,2,3,5,10,4
misdemeanor_offenses,1,OFFENSES AGAINST THE PERSON (7)      ,11,3,14,14,6,9,13,10,9,10,8,15,5,7,9,8
misdemeanor_offenses,1,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),63,46,69,70,89,73,71,86,86,74,68,166,154,101,100,81
misdemeanor_offenses,1,ADMINISTRATIVE CODE (6)            ,5,3,0,3,1,2,3,2,2,3,2,2,2,1,1,1
