"","xcoord","ycoord","pforce","rf_furt","rf_bulg","rf_knowl","rf_verbl","rf_rfcmp","rf_vcact","rf_attir","rf_othsw","rf_vcrim"
"1",1008008,230875,1,1,0,0,0,0,0,0,1,1
"2",1007586,232186,5,4,1,2,0,3,0,2,1,0
"4",1006325,232446,1,1,0,0,0,0,0,0,1,0
"5",1005737,232459,1,0,0,0,0,0,0,0,0,0
"12",1007409,232728,2,4,2,0,0,0,0,1,1,0
"13",1007921,232776,1,2,2,0,0,0,1,1,0,0
"14",1007300,232787,6,5,0,0,0,2,0,1,1,0
"15",1006227,232807,1,1,1,1,0,0,0,0,0,0
"22",1008448,233098,1,0,0,0,0,1,0,0,0,0
"24",1006696,233124,2,2,1,0,0,0,0,0,1,0
"25",1006627,233163,5,5,4,1,0,4,0,1,0,0
"26",1008091,233195,1,0,0,0,0,0,0,0,1,0
"29",1006858,233363,1,0,0,0,0,0,0,0,0,0
"32",1005518,233495,1,0,0,0,0,0,0,0,0,0
"33",1006611,233503,4,0,1,0,0,0,0,5,0,1
"36",1003125,233611,1,1,0,0,0,1,0,0,0,0
"37",1006832,233697,1,0,0,0,0,0,0,0,0,1
"41",1003890,233799,1,0,0,1,0,0,0,0,0,0
"43",1014779,233849,1,1,0,0,0,0,0,0,0,0
"45",1004670,233870,1,1,0,0,0,0,0,0,0,0
"46",1004677,233884,1,1,0,0,0,0,0,0,1,0
"50",1008391,233929,1,0,0,0,0,0,0,0,0,1
"51",1005803,233948,1,0,0,0,0,0,0,0,0,0
"52",1015553,234006,2,0,0,0,0,0,0,0,0,2
"55",1005035,234048,1,0,2,0,0,0,0,1,1,1
"57",1004980,234079,3,0,1,0,0,0,1,1,1,1
"61",1003844,234231,1,1,0,0,0,0,0,0,0,0
"64",1014691,234266,1,0,0,0,0,0,0,0,0,1
"66",1004197,234339,1,0,0,0,0,1,0,0,0,0
"67",1004972,234409,2,1,0,0,0,0,1,0,1,0
"68",1015467,234421,2,3,0,0,0,0,0,0,0,0
"70",1007816,234513,1,0,0,0,0,0,0,0,0,1
"73",1004735,234545,1,1,0,0,0,0,0,0,0,0
"74",1005904,234618,1,0,0,0,0,0,0,0,0,1
"75",1010316,234759,3,3,0,0,0,3,0,0,0,3
"76",1005984,234768,1,1,0,0,0,0,0,0,1,0
"79",1005826,234852,5,0,0,0,0,0,0,0,5,0
"80",1006897,234868,1,1,1,0,0,0,1,0,0,0
"81",1023793,234871,1,0,0,0,0,0,0,0,1,0
"82",1005796,234876,16,9,4,2,0,2,1,3,16,0
"83",1004723,234880,1,0,0,0,0,0,0,0,1,0
"84",1007245,234932,4,1,0,0,0,0,0,0,3,0
"85",1005615,234976,2,3,1,0,0,1,2,0,3,0
"86",1016951,234993,1,0,0,0,0,0,0,0,1,0
"88",1004801,235061,1,1,0,0,0,2,1,1,1,0
"90",1004031,235132,3,3,0,0,0,0,3,0,0,0
"91",1010774,235171,2,0,0,0,0,0,0,0,1,2
"94",1010889,235211,1,0,0,0,0,0,0,0,0,1
"95",1010695,235228,4,0,0,0,0,0,0,0,0,4
"97",1008029,235232,1,0,0,0,0,1,0,0,0,0
"99",1012939,235240,2,0,0,0,0,0,1,0,0,2
"101",1005099,235260,1,1,0,0,1,1,0,0,1,0
"103",1009612,235269,1,0,0,0,0,0,0,0,1,0
"104",1011596,235271,2,0,0,0,0,0,0,2,0,0
"105",1005462,235283,4,6,1,1,0,1,0,1,4,0
"107",1006647,235287,1,1,0,0,0,0,0,0,0,0
"108",1005148,235290,1,0,0,0,0,0,0,0,1,0
"110",1006043,235317,1,1,1,1,0,0,0,2,0,0
"111",1006054,235318,6,2,0,0,0,1,0,0,6,0
"112",1007405,235318,1,0,0,0,0,0,0,0,1,0
"116",1005225,235349,1,2,2,0,0,1,1,0,0,1
"119",1015281,235364,3,0,0,0,0,0,1,0,2,0
"121",1005266,235370,1,0,0,0,0,0,0,0,0,1
"124",1005889,235408,1,0,0,0,0,0,0,0,2,0
"125",1005870,235411,3,2,0,0,0,0,0,2,3,1
"126",1009926,235436,1,1,0,0,0,0,0,0,0,0
"127",1007561,235440,1,0,0,0,0,0,0,0,0,0
"128",1023791,235443,2,0,0,0,0,0,0,0,2,0
"130",1005373,235449,3,6,0,0,0,0,0,0,1,2
"131",1011532,235453,1,0,0,1,0,0,0,0,0,1
"135",1009545,235536,1,0,0,0,0,0,0,0,1,0
"138",1004847,235563,2,7,0,1,0,5,1,0,1,0
"139",1009419,235573,2,0,0,1,0,0,0,0,0,1
"140",1010511,235588,1,0,0,0,0,0,0,0,1,0
"142",1011917,235599,1,1,0,0,0,0,0,0,0,1
"143",1009105,235656,1,1,1,0,0,0,0,0,0,0
"146",1007039,235672,1,0,0,0,0,0,0,0,0,0
"147",1005927,235693,1,0,0,0,0,0,0,0,0,0
"149",1005526,235713,2,2,1,0,0,2,0,0,1,0
"150",1005525,235726,2,0,1,0,0,0,0,1,2,0
"153",1005852,235778,2,2,0,0,0,0,2,0,0,1
"156",1008661,235809,1,0,0,0,0,0,0,0,0,1
"160",1007237,235855,2,0,0,0,0,0,0,0,2,0
"162",1007180,235883,1,0,0,0,0,0,0,0,0,1
"163",1014904,235891,1,0,0,0,0,0,0,0,1,0
"164",1015972,235899,1,1,0,0,0,1,0,0,0,1
"166",1005414,235909,2,1,1,1,0,0,0,0,1,1
"168",1008958,235918,3,5,0,0,0,2,1,0,4,2
"169",1012375,235939,1,0,0,2,0,0,0,0,0,0
"171",1007684,235949,1,0,0,0,0,0,0,0,0,1
"172",1008345,235949,10,0,2,0,1,6,0,0,1,0
"174",1012006,235961,2,3,0,1,0,0,0,0,2,0
"175",1008261,235983,2,0,1,0,0,1,0,0,0,0
"176",1005080,235987,1,0,0,0,0,0,0,0,0,0
"177",1008214,236003,2,0,1,0,0,1,0,0,0,0
"180",1005969,236034,2,1,0,0,0,2,0,0,0,0
"184",1015672,236043,2,0,0,0,0,0,0,0,1,0
"185",1021253,236044,1,1,0,0,0,1,0,0,2,2
"186",1005124,236060,2,8,1,0,0,3,0,1,0,0
"187",1005321,236062,1,1,0,0,0,1,0,0,2,0
"188",1008085,236066,1,0,0,0,0,1,0,0,0,0
"189",1006298,236078,1,1,1,0,0,0,0,0,0,1
"192",1005922,236101,2,1,1,0,0,0,0,0,2,1
"193",1012143,236104,2,0,0,0,0,0,0,0,0,1
"194",1007980,236112,2,0,1,0,0,0,0,1,1,0
"197",1006742,236129,1,0,0,0,0,1,0,0,0,0
"198",1015651,236135,1,0,1,0,0,0,0,0,0,0
"199",1005275,236138,1,0,1,0,0,0,0,0,1,0
"200",1007246,236142,1,0,1,0,0,0,0,0,0,0
"201",1011927,236162,1,0,0,0,0,1,0,0,0,1
"202",1011656,236164,1,1,1,0,0,1,0,0,0,0
"204",1008446,236174,1,0,0,0,0,1,0,0,0,0
"205",1008448,236188,2,1,0,0,0,1,0,0,0,0
"208",1009308,236215,3,1,0,0,0,0,1,0,1,0
"209",1013587,236221,2,2,0,1,0,0,0,1,1,0
"211",1005827,236235,9,11,4,1,0,2,0,1,8,1
"212",1010146,236240,2,0,1,0,0,0,0,0,0,2
"214",1010970,236246,5,0,0,1,0,1,0,0,1,4
"215",1009603,236248,1,0,0,0,0,0,0,0,1,0
"216",1011897,236250,1,1,0,0,0,1,0,0,0,1
"218",1008159,236283,2,0,0,0,0,0,0,1,2,0
"220",1015360,236298,1,0,1,0,0,1,0,0,0,1
"222",1010705,236317,3,3,0,0,0,0,0,0,0,0
"223",1013469,236318,1,0,0,0,0,0,0,0,0,1
"224",1011208,236324,1,0,3,0,0,0,0,0,0,0
"225",1015345,236344,3,0,0,0,0,0,0,0,3,0
"226",1015612,236356,1,1,1,0,0,0,0,0,0,1
"227",1010533,236370,15,6,3,0,1,3,0,0,8,0
"228",1012354,236375,1,0,0,0,0,0,0,0,1,1
"229",1012720,236376,2,2,0,0,0,1,0,2,0,0
"233",1005956,236414,1,3,1,0,0,0,4,0,2,1
"236",1021486,236447,1,1,0,0,0,0,0,0,1,0
"237",1033362,236468,3,0,0,0,0,3,0,0,3,0
"238",1007288,236469,2,0,0,0,0,0,0,0,1,0
"240",1007923,236489,1,0,0,0,0,0,0,0,0,0
"241",1007237,236500,1,0,1,0,0,0,0,0,0,0
"244",1013195,236529,1,0,0,0,0,1,0,0,0,1
"245",1004819,236531,1,1,0,0,0,0,0,0,0,0
"246",1012149,236535,2,2,1,0,0,0,0,0,0,0
"248",1009898,236541,6,1,0,3,0,0,0,1,5,0
"249",1009404,236559,1,1,0,0,1,1,0,1,0,1
"251",1008881,236572,1,0,0,0,0,0,0,0,1,0
"253",1009519,236589,3,0,0,0,0,0,0,0,1,0
"255",1007034,236608,3,0,0,0,0,0,0,0,4,2
"256",1024768,236634,1,0,0,0,0,1,0,0,0,1
"262",1009649,236655,6,3,0,1,0,3,1,0,1,1
"264",1006896,236657,5,0,0,0,0,2,0,0,3,0
"265",1013906,236686,3,0,0,0,0,0,0,0,0,3
"266",1009702,236693,2,0,1,1,0,0,2,0,1,1
"267",1011944,236695,2,0,0,0,0,0,0,0,0,2
"269",1011097,236699,1,1,0,0,0,0,0,0,0,0
"270",1014198,236718,1,1,0,1,0,0,0,1,1,0
"272",1006659,236730,1,0,0,0,0,0,0,0,0,0
"273",1010513,236730,3,1,0,0,0,0,0,0,1,1
"275",1020951,236734,1,0,0,0,0,0,0,0,1,0
"276",1029379,236734,1,0,0,0,1,0,0,0,1,0
"277",1020983,236740,1,0,0,0,0,0,0,0,0,0
"279",1009776,236758,5,0,0,0,0,1,0,0,6,1
"281",1021112,236769,1,1,0,0,0,1,0,0,0,1
"282",1004119,236771,1,1,0,0,0,0,0,0,0,0
"284",1006520,236780,1,1,0,0,0,0,1,0,1,0
"286",1015784,236790,2,0,0,0,0,0,0,0,0,2
"287",1014956,236797,1,0,0,0,0,0,0,0,0,1
"290",1012361,236812,1,0,0,0,0,0,0,0,0,1
"291",1005538,236831,1,2,2,0,0,0,0,0,0,0
"293",1007097,236856,14,1,1,0,0,0,0,2,2,0
"294",1011730,236862,1,0,0,0,0,0,0,0,0,1
"296",1033190,236863,2,1,0,0,0,2,0,0,0,1
"297",1008715,236871,1,0,0,0,0,1,0,0,0,1
"298",1015505,236876,3,0,0,0,0,0,1,0,1,3
"299",1009935,236881,3,0,0,0,0,0,0,1,4,0
"300",1015222,236887,2,0,0,0,0,0,0,0,0,0
"301",1006150,236909,1,1,0,0,0,0,0,0,0,0
"302",1015721,236922,3,0,0,0,0,0,0,0,0,3
"303",1015760,236927,2,4,1,0,0,0,0,0,0,0
"304",1026406,236930,2,1,0,0,0,0,0,0,2,3
"305",1011173,236934,4,4,0,0,0,0,0,0,0,0
"307",1015862,236951,2,2,0,0,0,0,0,0,0,0
"308",1015192,236953,1,0,0,0,0,0,0,0,0,1
"310",1016015,236979,2,1,0,3,0,0,0,1,2,0
"311",1026699,236982,2,1,0,0,0,1,0,0,1,1
"313",1014135,236990,1,2,1,0,0,0,0,0,0,1
"315",1012582,237004,1,0,0,0,0,0,0,0,1,2
