"","pct","misdemeanor_offenses","m_o_count","non_seven_major_felony_offenses","nsm_fo_count","violation_offenses","v_o_count"
"1","40","misdemeanor_offenses",10779,"non_seven_major_felony_offenses",1884,"violation_offenses",1381
"2","41","misdemeanor_offenses",4465,"non_seven_major_felony_offenses",863,"violation_offenses",816
"3","42","misdemeanor_offenses",5653,"non_seven_major_felony_offenses",836,"violation_offenses",1012
"4","43","misdemeanor_offenses",7791,"non_seven_major_felony_offenses",976,"violation_offenses",1647
"5","44","misdemeanor_offenses",9254,"non_seven_major_felony_offenses",1172,"violation_offenses",1374
"6","45","misdemeanor_offenses",3941,"non_seven_major_felony_offenses",342,"violation_offenses",1016
"7","46","misdemeanor_offenses",6353,"non_seven_major_felony_offenses",1334,"violation_offenses",1431
"8","47","misdemeanor_offenses",5968,"non_seven_major_felony_offenses",842,"violation_offenses",1260
"9","48","misdemeanor_offenses",5543,"non_seven_major_felony_offenses",992,"violation_offenses",1014
"10","49","misdemeanor_offenses",4394,"non_seven_major_felony_offenses",511,"violation_offenses",801
"11","50","misdemeanor_offenses",2748,"non_seven_major_felony_offenses",397,"violation_offenses",574
"12","52","misdemeanor_offenses",7115,"non_seven_major_felony_offenses",1134,"violation_offenses",1065
