"","xcoord","ycoord","pforce"
"1",1008008,230875,1
"2",1007586,232186,5
"3",1006325,232446,1
"4",1005737,232459,1
"5",1007409,232728,2
"6",1007921,232776,1
"7",1007300,232787,6
"8",1006227,232807,1
"9",1008448,233098,1
"10",1006696,233124,2
"11",1006627,233163,5
"12",1008091,233195,1
"13",1006858,233363,1
"14",1005518,233495,1
"15",1006611,233503,4
"16",1003125,233611,1
"17",1006832,233697,1
"18",1003890,233799,1
"19",1014779,233849,1
"20",1004670,233870,1
"21",1004677,233884,1
"22",1008391,233929,1
"23",1005803,233948,1
"24",1015553,234006,2
"25",1005035,234048,1
"26",1004980,234079,3
"27",1003844,234231,1
"28",1014691,234266,1
"29",1004197,234339,1
"30",1004972,234409,2
"31",1015467,234421,2
"32",1007816,234513,1
"33",1004735,234545,1
"34",1005904,234618,1
"35",1010316,234759,3
"36",1005984,234768,1
"37",1005826,234852,5
"38",1006897,234868,1
"39",1023793,234871,1
"40",1005796,234876,16
"41",1004723,234880,1
"42",1007245,234932,4
"43",1005615,234976,2
"44",1016951,234993,1
"45",1004801,235061,1
"46",1004031,235132,3
"47",1010774,235171,2
"48",1010889,235211,1
"49",1010695,235228,4
"50",1008029,235232,1
"51",1012939,235240,2
"52",1005099,235260,1
"53",1009612,235269,1
"54",1011596,235271,2
"55",1005462,235283,4
"56",1006647,235287,1
"57",1005148,235290,1
"58",1006043,235317,1
"59",1006054,235318,6
"60",1007405,235318,1
"61",1005225,235349,1
"62",1015281,235364,3
"63",1005266,235370,1
"64",1005889,235408,1
"65",1005870,235411,3
"66",1009926,235436,1
"67",1007561,235440,1
"68",1023791,235443,2
"69",1005373,235449,3
"70",1011532,235453,1
"71",1009545,235536,1
"72",1004847,235563,2
"73",1009419,235573,2
"74",1010511,235588,1
"75",1011917,235599,1
"76",1009105,235656,1
"77",1007039,235672,1
"78",1005927,235693,1
"79",1005526,235713,2
"80",1005525,235726,2
"81",1005852,235778,2
"82",1008661,235809,1
"83",1007237,235855,2
"84",1007180,235883,1
"85",1014904,235891,1
"86",1015972,235899,1
"87",1005414,235909,2
"88",1008958,235918,3
"89",1012375,235939,1
"90",1007684,235949,1
"91",1008345,235949,10
"92",1012006,235961,2
"93",1008261,235983,2
"94",1005080,235987,1
"95",1008214,236003,2
"96",1005969,236034,2
"97",1015672,236043,2
"98",1021253,236044,1
"99",1005124,236060,2
"100",1005321,236062,1
"101",1008085,236066,1
"102",1006298,236078,1
"103",1005922,236101,2
"104",1012143,236104,2
"105",1007980,236112,2
"106",1006742,236129,1
"107",1015651,236135,1
"108",1005275,236138,1
"109",1007246,236142,1
"110",1011927,236162,1
"111",1011656,236164,1
"112",1008446,236174,1
"113",1008448,236188,2
"114",1009308,236215,3
"115",1013587,236221,2
"116",1005827,236235,9
"117",1010146,236240,2
"118",1010970,236246,5
"119",1009603,236248,1
"120",1011897,236250,1
"121",1008159,236283,2
"122",1015360,236298,1
"123",1010705,236317,3
"124",1013469,236318,1
"125",1011208,236324,1
"126",1015345,236344,3
"127",1015612,236356,1
"128",1010533,236370,15
"129",1012354,236375,1
"130",1012720,236376,2
"131",1005956,236414,1
"132",1021486,236447,1
"133",1033362,236468,3
"134",1007288,236469,2
"135",1007923,236489,1
"136",1007237,236500,1
"137",1013195,236529,1
"138",1004819,236531,1
"139",1012149,236535,2
"140",1009898,236541,6
"141",1009404,236559,1
"142",1008881,236572,1
"143",1009519,236589,3
"144",1007034,236608,3
"145",1024768,236634,1
"146",1009649,236655,6
"147",1006896,236657,5
"148",1013906,236686,3
"149",1009702,236693,2
"150",1011944,236695,2
"151",1011097,236699,1
"152",1014198,236718,1
"153",1006659,236730,1
"154",1010513,236730,3
"155",1020951,236734,1
"156",1029379,236734,1
"157",1020983,236740,1
"158",1009776,236758,5
"159",1021112,236769,1
"160",1004119,236771,1
"161",1006520,236780,1
"162",1015784,236790,2
"163",1014956,236797,1
"164",1012361,236812,1
"165",1005538,236831,1
