"","xcoord","ycoord","pforce"
"1",1007586,232186,3
"8",1007409,232728,2
"9",1007921,232776,1
"10",1007300,232787,6
"11",1006227,232807,1
"18",1008448,233098,1
"19",1006696,233124,1
"20",1006627,233163,4
"21",1008091,233195,1
"24",1006858,233363,1
"27",1005518,233495,1
"28",1006611,233503,2
"30",1003125,233611,1
"34",1014779,233849,1
"36",1004677,233884,1
"38",1005803,233948,1
"39",1015553,234006,1
"44",1004980,234079,2
"49",1004197,234339,1
"50",1015467,234421,1
"51",1007816,234513,1
"54",1004735,234545,1
"58",1005826,234852,3
"59",1006897,234868,1
"60",1005796,234876,12
"61",1004723,234880,1
"62",1007245,234932,2
"63",1005615,234976,1
"64",1016951,234993,1
"68",1010889,235211,1
"69",1010695,235228,3
"71",1008029,235232,1
"73",1005099,235260,1
"74",1011596,235271,1
"75",1005462,235283,3
"77",1005148,235290,1
"80",1006054,235318,3
"84",1005225,235349,1
"87",1015281,235364,1
"92",1005870,235411,3
"93",1007561,235440,1
"94",1023791,235443,2
"96",1005373,235449,3
"97",1011532,235453,1
"102",1004847,235563,1
"103",1009419,235573,2
"105",1011917,235599,1
"106",1009105,235656,1
"107",1005927,235693,1
"108",1005526,235713,2
"109",1005525,235726,2
"112",1005852,235778,2
"115",1008661,235809,1
"121",1015972,235899,1
"123",1005414,235909,2
"124",1008958,235918,3
"125",1012375,235939,1
"126",1007684,235949,1
"127",1008345,235949,7
"129",1005969,236034,2
"131",1015672,236043,2
"132",1021253,236044,1
"135",1006298,236078,1
"136",1005922,236101,2
"137",1012143,236104,1
"138",1007980,236112,2
"140",1006742,236129,1
"141",1015651,236135,1
"143",1007246,236142,1
"146",1008446,236174,1
"147",1008448,236188,1
"150",1013587,236221,1
"151",1005827,236235,4
"152",1010146,236240,2
"154",1010970,236246,4
"155",1009603,236248,1
"156",1011897,236250,1
"158",1008159,236283,1
"160",1015360,236298,1
"162",1010705,236317,2
"163",1015345,236344,1
"164",1015612,236356,1
"165",1010533,236370,10
"166",1012354,236375,1
"171",1021486,236447,1
"172",1033362,236468,1
"173",1007288,236469,2
"176",1007237,236500,1
"178",1013195,236529,1
"179",1012149,236535,1
"180",1009898,236541,3
"181",1009404,236559,1
"183",1009519,236589,3
"184",1007034,236608,1
"185",1024768,236634,1
"190",1009649,236655,4
"192",1006896,236657,3
"193",1013906,236686,1
"194",1009702,236693,1
"195",1011944,236695,1
"197",1006659,236730,1
"198",1010513,236730,2
"200",1009776,236758,3
"201",1021112,236769,1
"202",1004119,236771,1
"204",1006520,236780,1
"206",1015784,236790,1
"207",1014956,236797,1
"211",1007097,236856,6
"212",1011730,236862,1
"213",1008715,236871,1
"214",1015505,236876,2
"215",1009935,236881,3
"216",1015222,236887,2
"217",1006150,236909,1
"218",1015721,236922,1
"219",1015760,236927,2
"220",1026406,236930,1
"221",1011173,236934,3
"223",1015862,236951,2
"225",1026699,236982,1
"227",1014135,236990,1
"228",1012582,237004,1
"230",1010531,237018,3
"232",1010146,237049,2
"234",1010528,237067,3
"236",1005630,237083,1
"238",1033677,237089,1
"240",1012339,237198,1
"242",1005251,237214,1
"243",1015069,237227,1
"245",1009408,237258,1
"246",1010102,237402,1
"248",1015921,237431,1
"249",1009957,237442,2
"251",1006994,237486,1
"252",1026355,237490,2
"253",1009763,237506,1
"256",1004369,237509,1
"259",1014927,237541,1
"261",1025717,237597,1
"262",1025740,237607,1
"263",1015354,237626,1
"266",1013013,237638,1
"267",1015532,237659,1
"269",1008072,237702,4
"270",1007898,237708,1
"274",1011259,237768,1
"275",1026706,237776,4
"276",1009006,237800,1
"279",1013847,237812,1
"280",1014776,237838,1
"281",1004489,237844,1
"284",1015574,237866,2
"285",1008739,237873,1
"286",1015571,237881,2
"288",1011485,237929,1
"289",1006908,237935,9
"290",1006476,237941,4
"293",1008563,237960,1
"294",1006346,237986,4
"295",1026259,237993,1
"296",1012618,238010,1
"298",1006150,238054,1
"301",1013695,238085,5
"302",1014062,238085,1
"303",1013013,238095,1
"306",1034348,238134,1
"307",1009491,238137,1
"308",1018497,238147,2
"309",1013041,238156,1
"310",1014468,238156,5
"311",1024755,238220,1
"312",1015223,238229,2
"314",1026217,238260,1
"315",1008695,238265,1
"320",1025698,238382,1
"324",1013068,238404,3
"325",1025819,238404,2
"328",1012519,238408,2
"330",1015458,238417,1
"331",1016836,238430,1
"332",1012223,238431,1
"335",1012785,238467,2
"337",1009185,238490,1
"338",1021357,238494,1
"344",1012792,238528,1
"345",1006928,238560,2
"346",1021308,238560,1
"347",1016185,238561,1
"349",1010447,238582,1
"350",1025282,238585,2
"351",1006866,238587,1
"352",1014233,238591,1
"353",1014621,238595,1
"355",1010361,238606,1
"357",1006750,238621,4
"360",1013067,238633,1
"361",1007726,238645,3
"362",1012562,238650,1
"367",1022145,238701,1
"368",1006528,238704,1
"369",1033797,238707,1
"370",1010961,238721,1
"371",1007197,238731,7
"372",1032210,238735,2
"374",1014605,238742,5
"376",1015129,238749,1
"377",1033946,238773,1
"382",1007244,238841,1
"384",1025658,238893,2
"385",1006451,238923,2
"387",1007280,238934,1
"391",1006566,239029,1
"393",1008753,239042,1
"395",1007341,239067,1
"396",1010896,239083,1
"397",1006650,239092,3
"398",1022071,239100,1
"399",1010796,239108,1
"401",1010687,239143,1
"402",1020849,239143,1
"403",1014199,239165,2
"405",1021003,239176,1
"406",1014378,239180,1
"409",1006999,239205,4
"411",1014837,239207,1
"413",1015356,239242,1
"414",1012117,239245,2
"416",1010340,239255,1
"419",1021726,239300,2
"421",1013539,239322,1
"422",1021828,239324,1
"423",1012239,239328,1
"425",1004379,239331,1
"426",1010059,239344,1
"427",1012798,239356,1
"428",1022027,239356,1
"433",1012796,239444,2
"435",1004447,239483,1
"436",1007121,239502,4
"441",1009529,239548,2
"442",1013879,239551,2
"443",1007185,239556,3
"447",1014552,239614,1
"448",1014169,239654,2
"450",1013876,239696,2
"453",1008996,239726,1
"454",1014200,239764,1
"455",1014204,239767,1
"456",1011096,239796,1
"457",1011097,239802,3
"459",1020273,239846,1
"460",1014158,239874,1
"461",1010832,239885,7
"462",1020237,239886,1
"465",1004896,239898,1
"469",1020864,239948,2
"471",1009653,239975,1
"472",1014510,239978,1
"474",1025894,240049,1
"475",1021446,240060,1
"476",1020085,240085,1
"477",1010606,240098,1
"480",1014703,240114,1
"482",1021879,240139,1
"486",1015427,240217,1
"487",1005057,240220,1
"488",1015444,240224,1
"489",1014912,240247,2
"491",1004793,240258,2
"492",1018110,240290,1
"493",1011469,240320,1
"497",1011361,240351,1
"498",1007829,240358,1
"500",1016770,240372,1
"504",1011208,240399,1
"505",1010687,240400,1
"506",1009784,240404,2
"507",1011163,240416,1
"508",1012042,240416,1
"509",1020778,240430,1
"510",1005844,240453,2
"512",1015281,240459,2
"513",1019150,240476,1
"514",1015275,240502,1
"519",1021558,240558,1
"523",1033731,240638,1
"524",1020079,240641,1
"526",1014440,240645,1
"528",1005270,240674,1
"530",1020416,240701,1
"533",1020587,240732,1
"536",1020719,240758,1
"537",1020800,240769,1
"538",1013077,240795,1
"539",1021023,240809,1
"540",1013083,240814,1
"543",1004749,240880,2
"545",1006516,240907,2
"546",1021603,240912,1
"548",1015960,240988,2
"549",1025726,241003,1
"550",1008338,241010,1
"552",1010859,241026,2
"557",1012877,241159,1
"560",1017948,241204,1
"561",1007850,241218,3
"563",1007617,241317,2
"565",1019527,241348,1
"568",1007649,241385,2
"569",1019802,241397,1
"572",1007383,241421,1
"575",1020315,241487,1
"576",1018676,241545,1
"577",1007141,241554,3
"578",1008292,241571,1
"579",1032598,241603,1
"580",1009787,241618,1
"583",1003608,241656,2
"584",1008053,241673,1
"587",1008346,241686,3
"589",1012258,241723,1
"590",1014716,241733,1
"592",1006789,241748,1
"593",1007814,241775,4
"594",1012706,241820,1
"597",1018626,241859,1
"598",1007579,241875,1
"600",1010677,241911,2
"602",1008177,241943,2
"605",1030094,242032,1
"609",1022487,242044,2
"610",1003231,242072,2
"611",1006603,242087,1
"613",1023780,242102,1
"617",1007989,242164,1
"618",1003563,242217,1
"619",1006709,242261,3
"620",1003591,242274,1
"621",1006684,242275,2
"623",1018546,242290,1
"624",1008046,242292,3
"626",1007770,242308,2
"627",1011408,242310,7
"628",1021081,242320,1
"629",1018802,242336,3
"631",1006428,242389,1
"632",1012839,242402,1
"633",1009525,242406,1
"635",1011876,242454,2
"636",1010973,242491,1
"637",1008137,242505,1
"638",1007287,242526,1
"639",1031495,242545,1
"640",1008176,242598,1
"641",1007050,242630,1
"642",1010221,242648,2
"647",1024056,242689,1
"648",1010250,242703,1
"650",1003791,242739,1
"651",1005918,242774,1
"652",1009381,242787,1
"656",1009399,242831,1
"657",1010603,242831,1
"658",1012075,242857,1
"660",1010081,242876,1
"662",1008325,242923,2
"663",1025377,242930,2
"665",1004689,243002,2
"666",1003637,243020,4
"667",1009716,243024,1
"668",1008374,243025,1
"670",1007672,243030,3
"672",1009207,243050,1
"673",1015021,243050,1
"674",1018323,243096,1
"676",1007469,243106,1
"677",1018399,243107,1
"678",1003946,243109,1
"679",1009517,243117,1
"682",1004309,243167,6
"683",1010450,243189,1
"684",1004234,243196,1
"685",1009273,243207,3
"686",1017854,243216,1
"688",1010806,243234,5
"689",1012453,243248,1
"690",1004836,243259,3
"691",1010485,243271,3
"692",1010491,243271,2
"694",1004025,243286,2
"696",1003522,243318,2
"697",1019719,243343,1
"699",1003792,243378,3
"701",1006870,243393,1
"702",1017761,243396,1
"703",1010554,243434,2
"704",1004360,243448,2
"707",1009677,243484,3
"708",1008585,243507,2
"709",1010948,243509,5
"711",1018836,243579,1
"714",1009731,243613,2
"715",1004452,243620,1
"716",1004285,243690,2
"717",1025970,243698,3
"719",1008105,243721,1
"720",1004213,243725,1
"721",1014123,243770,1
"722",1010708,243780,1
"726",1003758,243813,1
"727",1003984,243824,1
"728",1011117,243843,1
"730",1009029,243859,1
"731",1005731,243904,1
"733",1014727,243921,2
"734",1009873,243953,1
"735",1004313,243967,1
"737",1025146,244016,1
"738",1003931,244041,1
"739",1007951,244044,2
"741",1026570,244060,1
"744",1010829,244080,1
"746",1009957,244123,3
"747",1030238,244132,1
"748",1015805,244156,1
"749",1010868,244171,2
"750",1026676,244181,6
"752",1015085,244196,1
"755",1026742,244258,3
"757",1010913,244263,1
"758",1015568,244263,1
"759",1008123,244271,1
"760",1010911,244273,2
"761",1009255,244278,1
"762",1005474,244285,1
"763",1009713,244297,7
"764",1014748,244365,1
"765",1006286,244384,1
"768",1010098,244419,5
"772",1011930,244473,1
"773",1004279,244490,2
"774",1025070,244539,2
"775",1008769,244547,2
"776",1029209,244588,4
"779",1020964,244740,1
"781",1008875,244776,1
"782",1012069,244810,1
"784",1032422,244903,4
"785",1006157,244915,2
"786",1027351,244927,1
"788",1026465,244977,1
"789",1020953,244991,1
"790",1007419,245007,1
"792",1044177,245018,4
"793",1026992,245049,1
"794",1021139,245062,1
"798",1004632,245169,1
"800",1010430,245242,2
"801",1008285,245256,1
"802",1026675,245331,1
"803",1008313,245340,1
"805",1017356,245369,1
"806",1026812,245378,1
"808",1005981,245427,1
"810",1007998,245528,1
"811",1008734,245544,1
"812",1025136,245571,2
"815",1019444,245654,2
"816",1008406,245663,1
"817",1012148,245681,1
"819",1031629,245710,1
"822",1020546,245739,2
"823",1020195,245767,1
"824",1028231,245780,1
"825",1026792,245826,2
"832",1021175,245925,1
"836",1005394,245935,1
"840",1005133,246020,1
"844",1005674,246113,2
"847",1004745,246204,1
