"","xcoord","ycoord","county","geoid","pforce","race","rf_furt","rf_bulg","rf_knowl","rf_verbl","rf_rfcmp","rf_vcact","rf_attir","rf_othsw","rf_vcrim","azn","ntv","wht_h","wht","blck"
"1",1009105,235656,"Bronx",36005,1,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"2",1014559,239605,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",1015069,237227,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,1,0,0,0,0,1,0,0
"4",1013897,238753,"Bronx",36005,0,"White - Hispanic",0,0,0,0,1,0,0,0,0,0,0,1,0,0
"5",1012791,238814,"Bronx",36005,1,"White - Hispanic",0,0,0,1,0,0,0,0,0,0,0,1,0,0
"6",1012791,238814,"Bronx",36005,1,"White - Hispanic",0,0,0,1,0,0,0,0,0,0,0,1,0,0
"7",1020641,253803,"Bronx",36005,0,"White - Hispanic",1,0,0,0,0,0,0,0,1,0,0,1,0,0
"8",1023340,254632,"Bronx",36005,0,"White - Hispanic",1,0,0,0,1,0,0,0,0,0,0,1,0,0
"9",1022463,264124,"Bronx",36005,1,"Black",0,0,1,0,0,0,0,1,0,0,0,0,0,1
"10",1007213,248747,"Bronx",36005,1,"Black",1,0,0,0,0,0,1,0,0,0,0,0,0,1
"11",1007213,248747,"Bronx",36005,1,"Black",1,0,0,0,0,0,1,0,0,0,0,0,0,1
"12",1007213,248747,"Bronx",36005,1,"Black",1,0,0,0,0,0,1,0,0,0,0,0,0,1
"13",1014608,240375,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",1014608,240375,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",1014608,240375,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16",1006375,246656,"Bronx",36005,1,"Black",1,0,1,0,0,0,0,0,0,0,0,0,0,1
"17",1008390,242057,"Bronx",36005,1,"White - Hispanic",1,0,0,0,0,0,0,0,1,0,0,1,0,0
"18",1024887,267203,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"19",1010638,248020,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"20",1010638,248020,"Bronx",36005,1,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"21",1010638,248020,"Bronx",36005,1,"Black",1,1,0,0,1,0,0,0,0,0,0,0,0,1
"22",1013169,255021,"Bronx",36005,0,"White - Hispanic",0,0,0,0,1,0,0,0,0,0,0,1,0,0
"23",1011117,253835,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"24",1008123,244271,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"25",1008123,244271,"Bronx",36005,1,"White - Hispanic",1,0,0,0,0,0,0,0,1,0,0,1,0,0
"26",1017854,240245,"Bronx",36005,1,"White - Hispanic",0,0,0,0,0,0,0,0,1,0,0,1,0,0
"27",1022783,245933,"Bronx",36005,0,"Black",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"28",1009653,239020,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"29",1021510,267159,"Bronx",36005,1,"Black",1,0,0,0,0,1,0,0,0,0,0,0,0,1
"30",1021510,267159,"Bronx",36005,1,"Black",1,0,0,0,0,1,0,0,0,0,0,0,0,1
"31",1010273,252117,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"32",1010273,252117,"Bronx",36005,1,"Black",1,0,0,0,1,0,0,1,1,0,0,0,0,1
"33",1021357,238494,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"34",1021850,239328,"Bronx",36005,0,"Black",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"35",1021850,239328,"Bronx",36005,0,"Black",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"36",1025190,239097,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,1,0,0,0,1,0,0
"37",1010527,246151,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"38",1010527,246151,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39",1010527,246151,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"40",1010527,246151,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"41",1008989,244415,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"42",1025333,268625,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"43",1021632,249745,"Bronx",36005,1,"White",0,0,0,0,0,1,1,0,0,0,0,0,1,0
"44",1021632,249745,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,1,1,0,0,0,0,1,0,0
"45",1021632,249745,"Bronx",36005,1,"White",0,0,0,0,0,1,1,0,0,0,0,0,1,0
"46",1019609,242482,"Bronx",36005,1,"White - Hispanic",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"47",1010533,236370,"Bronx",36005,0,"White - Hispanic",0,0,0,0,1,0,0,0,0,0,0,1,0,0
"48",1010533,236370,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"49",1009776,236758,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50",1009776,236758,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"51",1008913,242387,"Bronx",36005,0,"Black",1,0,0,0,0,0,1,0,0,0,0,0,0,1
"52",1025571,236989,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"53",1006286,244384,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"54",1023017,250501,"Bronx",36005,1,"White - Hispanic",1,1,0,0,0,0,0,0,0,0,0,1,0,0
"55",1009991,260544,"Bronx",36005,0,"White",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"56",1005827,236235,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,1,0,0,0,0,0,1
"57",1010806,243234,"Bronx",36005,0,"White - Hispanic",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"58",1005321,236062,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"59",1010491,243271,"Bronx",36005,0,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"60",1013068,238404,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"61",1010098,244419,"Bronx",36005,0,"Black",1,0,0,0,0,1,0,0,0,0,0,0,0,1
"62",1015275,240502,"Bronx",36005,1,"Black",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"63",1007814,241775,"Bronx",36005,1,"Black",1,0,1,0,0,0,0,0,0,0,0,0,0,1
"64",1006438,259459,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"65",1017932,260254,"Bronx",36005,0,"White - Hispanic",0,0,0,0,1,0,0,0,0,0,0,1,0,0
"66",1017932,260254,"Bronx",36005,1,"White - Hispanic",0,0,0,0,1,0,0,0,0,0,0,1,0,0
"67",1011264,251679,"Bronx",36005,1,"Black",1,0,0,0,0,0,1,0,1,0,0,0,0,1
"68",1011264,251679,"Bronx",36005,1,"Black",1,0,0,0,0,0,1,0,1,0,0,0,0,1
"69",1011141,248995,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"70",1011141,248995,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"71",1011141,248995,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"72",1014852,237030,"Bronx",36005,0,"White - Hispanic",1,0,1,0,0,1,0,0,0,0,0,1,0,0
"73",1008177,241943,"Bronx",36005,1,"Black",1,0,0,0,0,1,0,0,0,0,0,0,0,1
"74",1008346,241686,"Bronx",36005,1,"Black",1,1,0,0,1,0,1,0,0,0,0,0,0,1
"75",1008346,241686,"Bronx",36005,1,"Black",1,0,0,0,1,0,1,0,0,0,0,0,0,1
"76",1008159,241919,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"77",1008346,241686,"Bronx",36005,0,"White - Hispanic",1,0,0,0,0,1,0,0,0,0,0,1,0,0
"78",1008346,241686,"Bronx",36005,0,"White - Hispanic",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"79",1008346,241686,"Bronx",36005,0,"White - Hispanic",0,0,1,0,0,1,0,0,0,0,0,1,0,0
"80",1018074,259543,"Bronx",36005,1,"White - Hispanic",1,0,0,0,1,0,0,1,0,0,0,1,0,0
"81",1018074,259543,"Bronx",36005,1,"White",1,0,0,0,1,0,0,1,0,0,0,0,1,0
"82",1035485,240048,"Bronx",36005,1,"White",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"83",1005462,235283,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"84",1022491,252500,"Bronx",36005,1,"Black",0,0,1,0,0,0,0,0,1,0,0,0,0,1
"85",1021558,240558,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"86",1014187,253299,"Bronx",36005,1,"Black",0,0,0,0,1,1,1,0,0,0,0,0,0,1
"87",1008989,244415,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"88",1015368,246661,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"89",1012075,242857,"Bronx",36005,1,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"90",1010543,235693,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"91",1021879,240139,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"92",1010182,240888,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"93",1029792,258031,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"94",1014200,239764,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"95",1014468,238156,"Bronx",36005,1,"White - Hispanic",1,0,1,0,0,0,1,0,0,0,0,1,0,0
"96",1014727,243921,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"97",1014727,243921,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"98",1009529,239548,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"99",1025621,268476,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"100",1025894,240049,"Bronx",36005,1,"Black",1,0,0,0,1,0,0,0,0,0,0,0,0,1
"101",1025894,240049,"Bronx",36005,1,"White - Hispanic",1,0,0,0,1,0,0,0,0,0,0,1,0,0
"102",1010528,237067,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"103",1014249,238403,"Bronx",36005,0,"White - Hispanic",0,1,0,0,0,0,0,0,0,0,0,1,0,0
"104",1004749,240880,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"105",1013585,255031,"Bronx",36005,1,"White - Hispanic",1,1,0,0,0,0,0,0,0,0,0,1,0,0
"106",1017978,262492,"Bronx",36005,0,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"107",1018856,243477,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"108",1018856,243477,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"109",1012339,237198,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"110",1013082,240227,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"111",1013082,240227,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"112",1010528,237067,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"113",1022027,239356,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"114",1022027,239356,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"115",1022027,239356,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"116",1022027,239356,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"117",1022027,239356,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"118",1022027,239356,"Bronx",36005,0,"White - Hispanic",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"119",1022027,239356,"Bronx",36005,0,"White - Hispanic",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"120",1010565,252137,"Bronx",36005,0,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"121",1010565,252137,"Bronx",36005,0,"White - Hispanic",1,1,0,0,0,0,0,0,0,0,0,1,0,0
"122",1010565,252137,"Bronx",36005,0,"White - Hispanic",1,1,0,0,1,0,0,0,0,0,0,1,0,0
"123",1006947,246405,"Bronx",36005,1,"White - Hispanic",1,0,0,0,0,0,0,0,1,0,0,1,0,0
"124",1012846,269924,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"125",1012839,242402,"Bronx",36005,1,"Black",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"126",1018207,241234,"Bronx",36005,1,"White - Hispanic",1,0,0,0,0,0,0,1,0,0,0,1,0,0
"127",1011207,252824,"Bronx",36005,1,"White - Hispanic",0,0,0,0,0,0,1,0,1,0,0,1,0,0
"128",1023086,261145,"Bronx",36005,0,"Black",1,0,1,0,0,0,0,0,0,0,0,0,0,1
"129",1023152,263533,"Bronx",36005,0,"Black",1,0,1,0,0,0,0,0,0,0,0,0,0,1
"130",1012107,249138,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"131",1012107,249138,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,1,0,0,0,0,1
"132",1009776,236758,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"133",1011642,248112,"Bronx",36005,1,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"134",1011642,248112,"Bronx",36005,1,"Black",1,1,0,0,0,0,0,0,1,0,0,0,0,1
"135",1011642,248112,"Bronx",36005,1,"Black",1,1,0,0,0,0,1,0,0,0,0,0,0,1
"136",1008370,241093,"Bronx",36005,0,"Black",1,0,1,0,0,0,0,0,0,0,0,0,0,1
"137",1008773,242041,"Bronx",36005,1,"White - Hispanic",0,0,0,0,0,0,0,0,1,0,0,1,0,0
"138",1025571,236989,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"139",1006949,246116,"Bronx",36005,0,"Black",1,0,1,0,0,0,0,0,0,0,0,0,0,1
"140",1017956,243586,"Bronx",36005,1,"White - Hispanic",0,0,0,0,0,0,0,1,0,0,0,1,0,0
"141",1026465,244977,"Bronx",36005,1,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"142",1014621,238595,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"143",1010244,248385,"Bronx",36005,0,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"144",1010244,248385,"Bronx",36005,0,"White - Hispanic",1,1,0,0,0,0,0,0,0,0,0,1,0,0
"145",1010244,248385,"Bronx",36005,0,"White - Hispanic",0,1,0,0,1,0,0,0,0,0,0,1,0,0
"146",1018856,243477,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"147",1008888,260037,"Bronx",36005,0,"White - Hispanic",1,0,0,0,1,0,0,0,0,0,0,1,0,0
"148",1007645,246550,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"149",1005035,234048,"Bronx",36005,0,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"150",1005035,234048,"Bronx",36005,0,"Black",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"151",1013695,238085,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"152",1013695,238085,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"153",1013695,238085,"Bronx",36005,1,"Black",1,0,0,0,0,1,0,0,1,0,0,0,0,1
"154",1018856,243477,"Bronx",36005,0,"White - Hispanic",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"155",1018856,243477,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"156",1012339,237198,"Bronx",36005,0,"Black",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"157",1013901,238905,"Bronx",36005,1,"American Indian / Alaskan Native",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"158",1013901,238905,"Bronx",36005,1,"American Indian / Alaskan Native",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"159",1031330,245837,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"160",1031330,245837,"Bronx",36005,1,"White - Hispanic",1,0,0,0,1,1,0,0,0,0,0,1,0,0
"161",1026891,267592,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"162",1009219,248333,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"163",1009219,248333,"Bronx",36005,1,"White - Hispanic",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"164",1010970,236246,"Bronx",36005,0,"Black",0,0,1,0,1,0,0,0,0,0,0,0,0,1
"165",1022239,242799,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"166",1007479,234015,"Bronx",36005,0,"Black",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"167",1012081,270023,"Bronx",36005,0,"Black",1,0,1,0,0,0,0,0,0,0,0,0,0,1
"168",1009776,236758,"Bronx",36005,0,"Black",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"169",1015672,243853,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"170",1015672,243853,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"171",1004076,244229,"Bronx",36005,1,"White - Hispanic",0,1,0,0,0,0,0,0,0,0,0,1,0,0
"172",1004076,244229,"Bronx",36005,1,"White - Hispanic",0,1,0,0,0,0,0,0,0,0,0,1,0,0
"173",1008817,250725,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"174",1020871,237522,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"175",1008404,244727,"Bronx",36005,0,"Black",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"176",1021385,237016,"Bronx",36005,0,"White - Hispanic",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"177",1012354,236375,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,1,0,0,0,0,1
"178",1029009,258817,"Bronx",36005,1,"Black",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"179",1026019,269581,"Bronx",36005,0,"Black",1,0,0,0,1,0,0,0,0,0,0,0,0,1
"180",1013968,252807,"Bronx",36005,1,"Black",1,0,0,0,0,0,1,0,0,0,0,0,0,1
"181",1025475,258401,"Bronx",36005,0,"Black",1,0,0,0,1,0,0,0,0,0,0,0,0,1
"182",1025475,258401,"Bronx",36005,0,"White - Hispanic",1,0,0,0,1,0,0,0,0,0,0,1,0,0
"183",1015356,239242,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,1,0,0,0,0,0,1
"184",1009454,239373,"Bronx",36005,0,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"185",1025333,268625,"Bronx",36005,1,"Black",1,0,0,0,0,0,0,0,0,0,0,0,0,1
