"","xcoord","ycoord","pforce"
"1",1006325,232446,1
"3",1005889,235408,1
"4",1007237,235855,1
"6",1008214,236003,1
"9",1033362,236468,2
"10",1013906,236686,1
"11",1007097,236856,1
"12",1033190,236863,2
"16",1006908,237935,1
"18",1006928,238560,1
"21",1012653,238722,1
"24",1033560,239065,1
"25",1032801,239119,1
"26",1023332,239590,1
"27",1014552,239614,1
"28",1035485,240048,1
"29",1006244,240307,1
"31",1009004,241514,1
"32",1008023,242241,1
"33",1018836,243579,1
"34",1034600,243740,2
"35",1025146,244016,1
"38",1032439,244289,1
"39",1019808,244335,1
"40",1028135,244640,1
"41",1033221,244833,1
"43",1030999,244966,1
"44",1025458,245278,2
"46",1005501,245608,3
"48",1031360,245699,1
"49",1021752,245738,1
"51",1031654,246310,1
"54",1020789,246627,1
"57",1033170,246907,1
"58",1020525,246946,1
"60",1024922,247275,2
"62",1024813,247464,1
"65",1030817,247597,2
"66",1030653,247909,2
"68",1014976,247931,1
"69",1029855,247945,2
"70",1020850,247992,1
"72",1030110,248042,1
"75",1024012,248293,2
"77",1025412,248481,1
"82",1024371,249469,1
"87",1021632,249745,2
"89",1021371,249849,1
"90",1016540,249911,1
"91",1014698,249918,1
"94",1021121,250463,1
"97",1024988,250798,1
"98",1025214,250928,1
"99",1021137,251171,1
"101",1007158,251345,1
"102",1011218,251388,1
"110",1020011,252684,1
"111",1013900,252723,1
"115",1021445,253106,1
"118",1021459,253786,1
"119",1038144,254732,2
"120",1022761,255080,1
"122",1026959,256328,1
"127",1007069,259193,1
"131",1018074,259543,1
"148",1010425,262579,1
"149",1009918,262591,2
"154",1021972,265517,1
"155",1018222,265545,1
"159",1012582,269489,1
