"","xcoord","ycoord","pforce"
"1",1008008,230875,1
"2",1007586,232186,2
"3",1005737,232459,1
"15",1006696,233124,1
"16",1006627,233163,1
"17",1006611,233503,2
"19",1006832,233697,1
"21",1003890,233799,1
"22",1004670,233870,1
"25",1008391,233929,1
"26",1015553,234006,1
"27",1005035,234048,1
"29",1004980,234079,1
"31",1003844,234231,1
"33",1014691,234266,1
"35",1004972,234409,2
"36",1015467,234421,1
"38",1005904,234618,1
"39",1010316,234759,3
"40",1005984,234768,1
"41",1005826,234852,1
"42",1023793,234871,1
"43",1005796,234876,3
"44",1007245,234932,2
"45",1005615,234976,1
"47",1004801,235061,1
"48",1004031,235132,3
"49",1010774,235171,2
"51",1010695,235228,1
"53",1012939,235240,2
"56",1009612,235269,1
"57",1011596,235271,1
"58",1005462,235283,1
"59",1006647,235287,1
"60",1006043,235317,1
"61",1006054,235318,3
"62",1007405,235318,1
"64",1015281,235364,2
"69",1009926,235436,1
"71",1004847,235563,1
"72",1010511,235588,1
"76",1007039,235672,1
"80",1007237,235855,1
"81",1007180,235883,1
"82",1014904,235891,1
"86",1008345,235949,3
"88",1012006,235961,2
"89",1008261,235983,2
"90",1005080,235987,1
"91",1008214,236003,1
"95",1005124,236060,2
"96",1005321,236062,1
"97",1008085,236066,1
"101",1012143,236104,1
"103",1005275,236138,1
"104",1011927,236162,1
"105",1011656,236164,1
"106",1008448,236188,1
"108",1009308,236215,2
"109",1013587,236221,1
"111",1005827,236235,5
"113",1008159,236283,1
"114",1013469,236318,1
"115",1011208,236324,1
"116",1015345,236344,1
"117",1010533,236370,2
"118",1012720,236376,2
"121",1005956,236414,1
"124",1007923,236489,1
"127",1012149,236535,1
"129",1009898,236541,3
"130",1008881,236572,1
"133",1007034,236608,1
"138",1009649,236655,2
"140",1006896,236657,2
"141",1013906,236686,1
"142",1009702,236693,1
"143",1011944,236695,1
"145",1011097,236699,1
"146",1014198,236718,1
"148",1010513,236730,1
"149",1020951,236734,1
"150",1029379,236734,1
"151",1020983,236740,1
"153",1009776,236758,2
"157",1015784,236790,1
"160",1012361,236812,1
"161",1005538,236831,1
"163",1007097,236856,6
"165",1015505,236876,1
"167",1015721,236922,2
"169",1026406,236930,1
"170",1011173,236934,1
"171",1015192,236953,1
"172",1016015,236979,2
"173",1026699,236982,1
"178",1021385,237016,1
"179",1010531,237018,1
